[08/09/2021 18:40:17 - INFO] Discord Presence activated
[08/09/2021 18:40:17 - INFO] Creating discord-rpc client
[08/09/2021 18:40:18 - INFO] Successfully connected to Discord
[08/09/2021 18:40:18 - DEBUG] Loading git extension
[08/09/2021 18:43:49 - TRACE] VSCode language id: javascript
[08/09/2021 18:46:05 - TRACE] VSCode language id: javascript
[08/09/2021 18:46:07 - TRACE] VSCode language id: javascript
[08/09/2021 18:47:21 - TRACE] VSCode language id: javascript
[08/09/2021 18:47:23 - TRACE] VSCode language id: javascript
[08/09/2021 18:47:39 - TRACE] VSCode language id: javascript
[08/09/2021 18:47:41 - TRACE] VSCode language id: javascript
[08/09/2021 18:48:53 - TRACE] VSCode language id: javascript
[08/09/2021 18:48:55 - TRACE] VSCode language id: javascript
[08/09/2021 18:49:00 - TRACE] VSCode language id: javascript
[08/09/2021 18:49:02 - TRACE] VSCode language id: javascript
[08/09/2021 18:49:03 - TRACE] VSCode language id: javascript
[08/09/2021 18:49:05 - TRACE] VSCode language id: javascript
[08/09/2021 18:49:06 - TRACE] VSCode language id: javascript
[08/09/2021 18:49:08 - TRACE] VSCode language id: javascript
[08/09/2021 18:49:10 - TRACE] VSCode language id: javascript
[08/09/2021 18:49:12 - TRACE] VSCode language id: javascript
[08/09/2021 18:49:14 - TRACE] VSCode language id: javascript
[08/09/2021 18:49:17 - TRACE] VSCode language id: javascript
[08/09/2021 18:49:19 - TRACE] VSCode language id: javascript
[08/09/2021 18:49:21 - TRACE] VSCode language id: javascript
[08/09/2021 18:49:31 - TRACE] VSCode language id: javascript
[08/09/2021 18:49:33 - TRACE] VSCode language id: javascript
[08/09/2021 18:49:35 - TRACE] VSCode language id: javascript
[08/09/2021 18:49:37 - TRACE] VSCode language id: javascript
[08/09/2021 18:49:39 - TRACE] VSCode language id: javascript
[08/09/2021 18:49:41 - TRACE] VSCode language id: javascript
[08/09/2021 18:49:43 - TRACE] VSCode language id: javascript
[08/09/2021 18:49:44 - TRACE] VSCode language id: javascript
[08/09/2021 18:49:46 - TRACE] VSCode language id: javascript
[08/09/2021 18:49:48 - TRACE] VSCode language id: javascript
[08/09/2021 18:49:50 - TRACE] VSCode language id: javascript
[08/09/2021 18:49:53 - TRACE] VSCode language id: javascript
[08/09/2021 18:50:31 - TRACE] VSCode language id: javascript
[08/09/2021 18:50:33 - TRACE] VSCode language id: javascript
[08/09/2021 18:50:35 - TRACE] VSCode language id: javascript
[08/09/2021 18:50:38 - TRACE] VSCode language id: javascript
[08/09/2021 18:50:40 - TRACE] VSCode language id: javascript
[08/09/2021 18:50:42 - TRACE] VSCode language id: javascript
[08/09/2021 18:50:44 - TRACE] VSCode language id: javascript
[08/09/2021 18:50:47 - TRACE] VSCode language id: javascript
[08/09/2021 18:50:49 - TRACE] VSCode language id: javascript
[08/09/2021 18:50:51 - TRACE] VSCode language id: javascript
[08/09/2021 18:50:52 - TRACE] VSCode language id: javascript
[08/09/2021 18:50:54 - TRACE] VSCode language id: javascript
[08/09/2021 18:51:11 - TRACE] VSCode language id: javascript
[08/09/2021 18:51:13 - TRACE] VSCode language id: javascript
[08/09/2021 18:51:46 - TRACE] VSCode language id: javascript
[08/09/2021 18:51:48 - TRACE] VSCode language id: javascript
[08/09/2021 18:51:52 - TRACE] VSCode language id: javascript
[08/09/2021 18:51:54 - TRACE] VSCode language id: javascript
[08/09/2021 18:51:58 - TRACE] VSCode language id: javascript
[08/09/2021 18:52:00 - TRACE] VSCode language id: javascript
[08/09/2021 18:52:12 - TRACE] VSCode language id: javascript
[08/09/2021 18:52:14 - TRACE] VSCode language id: javascript
[08/09/2021 18:52:16 - TRACE] VSCode language id: javascript
[08/09/2021 18:52:18 - TRACE] VSCode language id: javascript
[08/09/2021 18:52:20 - TRACE] VSCode language id: javascript
[08/09/2021 18:52:23 - TRACE] VSCode language id: javascript
[08/09/2021 18:52:44 - TRACE] VSCode language id: javascript
[08/09/2021 18:52:46 - TRACE] VSCode language id: javascript
[08/09/2021 18:52:48 - TRACE] VSCode language id: javascript
[08/09/2021 18:52:50 - TRACE] VSCode language id: javascript
[08/09/2021 18:52:52 - TRACE] VSCode language id: javascript
[08/09/2021 18:53:04 - TRACE] VSCode language id: javascript
[08/09/2021 18:53:06 - TRACE] VSCode language id: javascript
[08/09/2021 18:53:29 - TRACE] VSCode language id: javascript
[08/09/2021 18:53:31 - TRACE] VSCode language id: javascript
[08/09/2021 18:53:33 - TRACE] VSCode language id: javascript
[08/09/2021 18:53:35 - TRACE] VSCode language id: javascript
[08/09/2021 18:54:00 - TRACE] VSCode language id: javascript
[08/09/2021 18:54:02 - TRACE] VSCode language id: javascript
[08/09/2021 18:54:04 - TRACE] VSCode language id: javascript
[08/09/2021 18:54:06 - TRACE] VSCode language id: javascript
[08/09/2021 18:54:08 - TRACE] VSCode language id: javascript
[08/09/2021 18:54:11 - TRACE] VSCode language id: javascript
[08/09/2021 18:54:13 - TRACE] VSCode language id: javascript
[08/09/2021 18:54:15 - TRACE] VSCode language id: javascript
[08/09/2021 18:54:17 - TRACE] VSCode language id: javascript
[08/09/2021 18:54:19 - TRACE] VSCode language id: javascript
[08/09/2021 18:54:21 - TRACE] VSCode language id: javascript
[08/09/2021 18:54:24 - TRACE] VSCode language id: javascript
[08/09/2021 18:54:26 - TRACE] VSCode language id: javascript
[08/09/2021 18:54:28 - TRACE] VSCode language id: javascript
[08/09/2021 18:54:30 - TRACE] VSCode language id: javascript
[08/09/2021 18:54:33 - TRACE] VSCode language id: javascript
[08/09/2021 18:54:35 - TRACE] VSCode language id: javascript
[08/09/2021 18:54:37 - TRACE] VSCode language id: javascript
[08/09/2021 18:54:39 - TRACE] VSCode language id: javascript
[08/09/2021 18:54:41 - TRACE] VSCode language id: javascript
[08/09/2021 18:54:44 - TRACE] VSCode language id: javascript
[08/09/2021 18:54:46 - TRACE] VSCode language id: javascript
[08/09/2021 18:54:48 - TRACE] VSCode language id: javascript
[08/09/2021 18:55:02 - TRACE] VSCode language id: javascript
[08/09/2021 18:55:04 - TRACE] VSCode language id: javascript
[08/09/2021 18:55:10 - TRACE] VSCode language id: javascript
[08/09/2021 18:55:12 - TRACE] VSCode language id: javascript
[08/09/2021 18:55:14 - TRACE] VSCode language id: javascript
[08/09/2021 18:55:16 - TRACE] VSCode language id: javascript
[08/09/2021 18:55:18 - TRACE] VSCode language id: javascript
[08/09/2021 18:55:20 - TRACE] VSCode language id: javascript
[08/09/2021 18:55:23 - TRACE] VSCode language id: javascript
[08/09/2021 18:55:34 - TRACE] VSCode language id: javascript
[08/09/2021 18:55:36 - TRACE] VSCode language id: javascript
[08/09/2021 18:55:53 - TRACE] VSCode language id: javascript
[08/09/2021 18:55:55 - TRACE] VSCode language id: javascript
[08/09/2021 18:55:57 - TRACE] VSCode language id: javascript
[08/09/2021 18:55:59 - TRACE] VSCode language id: javascript
[08/09/2021 18:56:01 - TRACE] VSCode language id: javascript
[08/09/2021 18:56:03 - TRACE] VSCode language id: javascript
[08/09/2021 18:56:44 - TRACE] VSCode language id: javascript
[08/09/2021 18:56:46 - TRACE] VSCode language id: javascript
[08/09/2021 18:56:49 - TRACE] VSCode language id: javascript
[08/09/2021 18:56:51 - TRACE] VSCode language id: javascript
[08/09/2021 18:56:51 - TRACE] VSCode language id: javascript
[08/09/2021 18:56:53 - TRACE] VSCode language id: javascript
[08/09/2021 18:56:56 - TRACE] VSCode language id: javascript
[08/09/2021 18:56:58 - TRACE] VSCode language id: javascript
[08/09/2021 18:57:00 - TRACE] VSCode language id: javascript
[08/09/2021 18:57:02 - TRACE] VSCode language id: javascript
[08/09/2021 18:57:04 - TRACE] VSCode language id: javascript
[08/09/2021 18:57:41 - TRACE] VSCode language id: javascript
[08/09/2021 18:57:43 - TRACE] VSCode language id: javascript
[08/09/2021 18:57:46 - TRACE] VSCode language id: javascript
[08/09/2021 18:57:54 - TRACE] VSCode language id: javascript
[08/09/2021 18:57:56 - TRACE] VSCode language id: javascript
[08/09/2021 18:57:59 - TRACE] VSCode language id: javascript
[08/09/2021 18:58:01 - TRACE] VSCode language id: javascript
[08/09/2021 18:58:05 - TRACE] VSCode language id: javascript
[08/09/2021 18:58:07 - TRACE] VSCode language id: javascript
[08/09/2021 18:58:10 - TRACE] VSCode language id: javascript
[08/09/2021 18:58:41 - TRACE] VSCode language id: javascript
[08/09/2021 18:58:43 - TRACE] VSCode language id: javascript
[08/09/2021 18:58:45 - TRACE] VSCode language id: javascript
[08/09/2021 18:59:01 - TRACE] VSCode language id: javascript
[08/09/2021 18:59:03 - TRACE] VSCode language id: javascript
[08/09/2021 18:59:30 - TRACE] VSCode language id: javascript
[08/09/2021 18:59:32 - TRACE] VSCode language id: javascript
[08/09/2021 18:59:35 - TRACE] VSCode language id: javascript
[08/09/2021 18:59:37 - TRACE] VSCode language id: javascript
[08/09/2021 18:59:39 - TRACE] VSCode language id: javascript
[08/09/2021 19:00:02 - TRACE] VSCode language id: javascript
[08/09/2021 19:00:04 - TRACE] VSCode language id: javascript
[08/09/2021 19:00:06 - TRACE] VSCode language id: javascript
[08/09/2021 19:00:08 - TRACE] VSCode language id: javascript
[08/09/2021 19:00:10 - TRACE] VSCode language id: javascript
[08/09/2021 19:00:13 - TRACE] VSCode language id: javascript
[08/09/2021 19:00:15 - TRACE] VSCode language id: javascript
[08/09/2021 19:01:03 - TRACE] VSCode language id: javascript
[08/09/2021 19:01:05 - TRACE] VSCode language id: javascript
[08/09/2021 19:01:08 - TRACE] VSCode language id: javascript
[08/09/2021 19:01:10 - TRACE] VSCode language id: javascript
[08/09/2021 19:01:12 - TRACE] VSCode language id: javascript
[08/09/2021 19:01:33 - TRACE] VSCode language id: javascript
[08/09/2021 19:01:35 - TRACE] VSCode language id: javascript
[08/09/2021 19:01:37 - TRACE] VSCode language id: javascript
[08/09/2021 19:01:39 - TRACE] VSCode language id: javascript
[08/09/2021 19:03:26 - TRACE] VSCode language id: javascript
[08/09/2021 19:03:28 - TRACE] VSCode language id: javascript
[08/09/2021 19:03:31 - TRACE] VSCode language id: json
[08/09/2021 19:03:37 - TRACE] VSCode language id: json
[08/09/2021 19:03:39 - TRACE] VSCode language id: json
[08/09/2021 19:03:42 - TRACE] VSCode language id: javascript
[08/09/2021 19:03:42 - TRACE] VSCode language id: javascript
[08/09/2021 19:03:47 - TRACE] VSCode language id: javascript
[08/09/2021 19:03:49 - TRACE] VSCode language id: javascript
[08/09/2021 19:03:51 - TRACE] VSCode language id: javascript
[08/09/2021 19:03:53 - TRACE] VSCode language id: javascript
[08/09/2021 19:03:55 - TRACE] VSCode language id: javascript
[08/09/2021 19:03:57 - TRACE] VSCode language id: javascript
[08/09/2021 19:03:59 - TRACE] VSCode language id: javascript
[08/09/2021 19:04:27 - TRACE] VSCode language id: javascript
[08/09/2021 19:04:29 - TRACE] VSCode language id: javascript
[08/09/2021 19:05:50 - TRACE] VSCode language id: javascript
[08/09/2021 19:05:52 - TRACE] VSCode language id: javascript
[08/09/2021 19:05:54 - TRACE] VSCode language id: javascript
[08/09/2021 19:05:56 - TRACE] VSCode language id: javascript
[08/09/2021 19:05:58 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:01 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:03 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:05 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:07 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:10 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:11 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:13 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:15 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:17 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:19 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:22 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:23 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:25 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:27 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:30 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:32 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:40 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:42 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:44 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:46 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:48 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:50 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:52 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:54 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:56 - TRACE] VSCode language id: javascript
[08/09/2021 19:06:58 - TRACE] VSCode language id: javascript
[08/09/2021 19:07:00 - TRACE] VSCode language id: javascript
[08/09/2021 19:07:03 - TRACE] VSCode language id: javascript
[08/09/2021 19:08:36 - TRACE] VSCode language id: javascript
[08/09/2021 19:08:38 - TRACE] VSCode language id: javascript
[08/09/2021 19:11:32 - TRACE] VSCode language id: javascript
[08/09/2021 19:11:34 - TRACE] VSCode language id: javascript
[08/09/2021 19:11:37 - TRACE] VSCode language id: javascript
[08/09/2021 19:11:39 - TRACE] VSCode language id: javascript
[08/09/2021 19:12:16 - TRACE] VSCode language id: javascript
[08/09/2021 19:12:18 - TRACE] VSCode language id: javascript
[08/09/2021 19:12:21 - TRACE] VSCode language id: javascript
[08/09/2021 19:12:23 - TRACE] VSCode language id: javascript
[08/09/2021 19:13:26 - TRACE] VSCode language id: javascript
[08/09/2021 19:13:28 - TRACE] VSCode language id: javascript
[08/09/2021 19:13:30 - TRACE] VSCode language id: javascript
[08/09/2021 19:13:32 - TRACE] VSCode language id: javascript
[08/09/2021 19:13:34 - TRACE] VSCode language id: javascript
[08/09/2021 19:13:53 - TRACE] VSCode language id: javascript
[08/09/2021 19:13:55 - TRACE] VSCode language id: javascript
[08/09/2021 19:14:18 - TRACE] VSCode language id: javascript
[08/09/2021 19:14:20 - TRACE] VSCode language id: javascript
[08/09/2021 19:14:59 - TRACE] VSCode language id: javascript
[08/09/2021 19:15:01 - TRACE] VSCode language id: javascript
[08/09/2021 19:15:36 - TRACE] VSCode language id: javascript
[08/09/2021 19:15:38 - TRACE] VSCode language id: javascript
[08/09/2021 19:15:40 - TRACE] VSCode language id: javascript
[08/09/2021 19:15:43 - TRACE] VSCode language id: javascript
[08/09/2021 19:15:45 - TRACE] VSCode language id: javascript
[08/09/2021 19:15:48 - TRACE] VSCode language id: javascript
[08/09/2021 19:19:48 - TRACE] VSCode language id: javascript
[08/09/2021 19:19:50 - TRACE] VSCode language id: javascript
[08/09/2021 19:19:52 - TRACE] VSCode language id: javascript
[08/09/2021 19:19:55 - TRACE] VSCode language id: javascript
[08/09/2021 19:19:57 - TRACE] VSCode language id: javascript
[08/09/2021 19:19:58 - TRACE] VSCode language id: javascript
[08/09/2021 19:20:00 - TRACE] VSCode language id: javascript
[08/09/2021 19:20:02 - TRACE] VSCode language id: javascript
[08/09/2021 19:20:04 - TRACE] VSCode language id: javascript
[08/09/2021 19:20:06 - TRACE] VSCode language id: javascript
[08/09/2021 19:20:08 - TRACE] VSCode language id: javascript
[08/09/2021 19:20:27 - TRACE] VSCode language id: javascript
[08/09/2021 19:20:29 - TRACE] VSCode language id: javascript
[08/09/2021 19:20:31 - TRACE] VSCode language id: javascript
[08/09/2021 19:20:38 - TRACE] VSCode language id: javascript
[08/09/2021 19:20:40 - TRACE] VSCode language id: javascript
[08/09/2021 19:20:42 - TRACE] VSCode language id: javascript
[08/09/2021 19:21:11 - TRACE] VSCode language id: javascript
[08/09/2021 19:21:13 - TRACE] VSCode language id: javascript
[08/09/2021 19:21:15 - TRACE] VSCode language id: javascript
[08/09/2021 19:21:18 - TRACE] VSCode language id: javascript
[08/09/2021 19:21:19 - TRACE] VSCode language id: javascript
[08/09/2021 19:21:21 - TRACE] VSCode language id: javascript
[08/09/2021 19:21:25 - TRACE] VSCode language id: javascript
[08/09/2021 19:21:27 - TRACE] VSCode language id: javascript
[08/09/2021 19:32:48 - TRACE] VSCode language id: javascript
[08/09/2021 19:32:50 - TRACE] VSCode language id: javascript
[08/09/2021 19:37:48 - TRACE] VSCode language id: javascript
[08/09/2021 19:37:50 - TRACE] VSCode language id: javascript
[08/09/2021 19:37:53 - TRACE] VSCode language id: javascript
[08/09/2021 19:38:56 - TRACE] VSCode language id: javascript
[08/09/2021 19:38:58 - TRACE] VSCode language id: javascript
[08/09/2021 19:39:00 - TRACE] VSCode language id: javascript
[08/09/2021 19:39:02 - TRACE] VSCode language id: javascript
